Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C13,470nF,C_0603_1608Metric,138.225,-107.0,180.0,top
C18,47nF,C_0603_1608Metric,153.7,-100.3,90.0,top
C19,68pF,C_0402_1005Metric,154.9,-100.62,90.0,top
C2,1nF,C_0402_1005Metric,146.8,-96.9,90.0,top
C20,8.2pF,C_0402_1005Metric,159.0,-99.68,90.0,top
C21,3pF,C_0402_1005Metric,159.48,-101.1,0.0,top
C22,0.75pF,C_0402_1005Metric,160.0,-99.7,90.0,top
C23,68pF,C_0402_1005Metric,161.58,-102.2,0.0,top
C24,4.7pF,C_0402_1005Metric,158.38,-104.275,0.0,top
C25,3pF,C_0402_1005Metric,164.1,-103.68,-90.0,top
C26,3pF,C_0402_1005Metric,158.385,-105.225,0.0,top
C27,1uF,C_0603_1608Metric,99.5125,-79.6,90.0,top
C28,4.7uF,C_0603_1608Metric,107.5625,-76.7,90.0,top
C29,4.7uF,C_0603_1608Metric,108.8625,-84.4,180.0,top
C30,4.7uF,C_0603_1608Metric,94.1,-103.6,90.0,top
C31,100nF,C_0402_1005Metric,103.65,-102.5,0.0,top
C32,47uF,C_0805_2012Metric,96.85,-105.2,0.0,top
C32,47uF,C_0805_2012Metric,115.95,-99.5,180.0,top
C33,4.7uF,C_0603_1608Metric,94.85,-111.55,180.0,top
C34,4.7uF,C_0603_1608Metric,94.85,-110.05,180.0,top
C35,100pF,C_0402_1005Metric,170.636482,-104.535,0.0,top
C36,100pF,C_0402_1005Metric,170.675,-103.25,0.0,top
C37,100pF,C_0402_1005Metric,176.683982,-103.875,0.0,top
C38,10uF,C_0603_1608Metric,151.8,-82.85,180.0,top
C39,100nF,C_0402_1005Metric,151.8,-80.85,180.0,top
C4,18pF,C_0402_1005Metric,142.5,-103.0,180.0,top
C40,100nF,C_0603_1608Metric,151.8,-84.85,180.0,top
C41,10uF,C_0603_1608Metric,163.5,-142.5,-90.0,top
C42,100nF,C_0402_1005Metric,155.08,-112.175,180.0,top
C43,4.7uF,C_0402_1005Metric,143.97,-107.5,180.0,top
C44,100nF,C_0402_1005Metric,151.75,-111.38,-90.0,top
C45,33pF,C_0402_1005Metric,150.8,-99.4,90.0,top
C46,100nF,C_0402_1005Metric,143.93,-106.3,180.0,top
C47,4.7uF,C_0402_1005Metric,144.42,-103.0,180.0,top
C48,33pF,C_0402_1005Metric,149.85,-99.4,90.0,top
C49,33pF,C_0402_1005Metric,152.45,-99.85,-90.0,top
C50,100nF,C_0402_1005Metric,140.75,-107.43,-90.0,top
C51,10nF,C_0402_1005Metric,141.7,-105.55,-90.0,top
C52,1uF,C_0402_1005Metric,140.75,-105.57,-90.0,top
C6,100nF,C_0402_1005Metric,154.73,-123.65,0.0,top
C8,18pF,C_0402_1005Metric,140.59,-103.0,0.0,top
C9,1nF,C_0402_1005Metric,151.75,-96.9,-90.0,top
D1,CHG,LED_0805_2012Metric,113.0625,-78.5875,90.0,top
D2,LED,LED_0805_2012Metric,166.9375,-89.4,0.0,top
D3,blinky,LED_0805_2012Metric,149.75,-117.0125,90.0,top
D4,PESD3V3L4UG,DIO_PESD3V3L4UG,131.9,-73.3,90.0,top
J1,Conn_ST_STDC14,PinHeader_2x07_P1.27mm_Vertical,136.535,-114.15,0.0,top
J2,USB_C_Receptacle_PowerOnly_6P,UC17-0B06F68011,93.5625,-82.1,-90.0,top
J3,BAT,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,93.1,-95.1,-90.0,top
L1,15uH,L_0402_1005Metric,141.7,-107.435,90.0,top
L3,47nH,L_0402_1005Metric,157.5,-101.7,-90.0,top
L4,2.7nH,L_0402_1005Metric,159.485,-102.2,0.0,top
L5,10nH,L_0402_1005Metric,163.585,-102.2,0.0,top
L6,10nH,L_0402_1005Metric,156.905,-104.74,90.0,top
L7,22uH,PSPMAA0402-220M-ANP,101.4,-94.7,90.0,top
L8,0,L_0603_1608Metric,180.641482,-103.9,0.0,top
Q3,SS8050,SOT-23,159.4,-89.35,0.0,top
Q4,SS8050,SOT-23,174.3375,-78.3,180.0,top
R1,10K,R_0603_1608Metric,154.9875,-122.375,180.0,top
R10,100K,R_0805_2012Metric,116.2125,-85.1,0.0,top
R11,1M,R_0805_2012Metric,99.5,-107.9125,90.0,top
R12,1M,R_0805_2012Metric,101.5,-107.9125,90.0,top
R13,1M,R_0805_2012Metric,104.8,-107.2,0.0,top
R14,82K,R_0603_1608Metric,104.8125,-109.1,180.0,top
R15,470K,R_0805_2012Metric,104.7875,-111.0,0.0,top
R16,4.7K,R_0805_2012Metric,178.5125,-81.6,180.0,top
R17,200K,R_0805_2012Metric,95.3875,-100.0,180.0,top
R18,1M,R_0805_2012Metric,91.5875,-100.0,180.0,top
R19,5.6K,R_0805_2012Metric,151.5,-78.15,0.0,top
R2,4.7K,R_0805_2012Metric,155.3125,-88.4,0.0,top
R20,1K,R_0805_2012Metric,151.5,-75.8,180.0,top
R21,1K,R_0805_2012Metric,151.5,-73.35,180.0,top
R22,1K,R_0805_2012Metric,163.3125,-89.4,180.0,top
R23,47K,R_0805_2012Metric,178.5,-79.3,180.0,top
R25,10K,R_0805_2012Metric,156.0375,-113.725,180.0,top
R26,4.7K,R_0603_1608Metric,146.7,-113.825,90.0,top
R27,4.7K,R_0603_1608Metric,144.225,-113.825,90.0,top
R28,100K,R_0603_1608Metric,144.1,-96.375,-90.0,top
R29,100K,R_0603_1608Metric,148.2,-113.825,-90.0,top
R3,47K,R_0805_2012Metric,155.2875,-90.4,0.0,top
R30,1K,R_0603_1608Metric,149.75,-113.825,-90.0,top
R4,2K,R_0805_2012Metric,105.5625,-76.7375,90.0,top
R5,1K,R_0805_2012Metric,103.8,-82.0,0.0,top
R6,5.1K,R_0805_2012Metric,99.5125,-83.5125,-90.0,top
R7,5.1K,R_0805_2012Metric,97.5125,-83.5125,90.0,top
R8,10K,R_0805_2012Metric,105.4,-84.4,180.0,top
R9,1K,R_0805_2012Metric,110.225,-77.65,0.0,top
SW1,NRST,TS-1088-AR02016,156.225,-120.025,0.0,top
U1,TC1262-33,SOT-223-3,111.6,-71.05,0.0,top
U11,STM32WL55CCUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,149.51,-105.75,90.0,top
U2,BQ24074RGTT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,107.6625,-81.25,90.0,top
U3,MAX17048,SON50P200X200X80-9N,116.2125,-82.8,0.0,top
U4,SPV1050,QFN40P300X300X100-21N,99.3,-102.0,0.0,top
U5,AS179-92LF,SOT-363_SC-70-6,173.878982,-103.885,0.0,top
U6,L80-R,Quectel_L80-R,162.9,-79.6,0.0,top
U8,W25Q16JVSS,SOIC-8_5.3x5.3mm_P1.27mm,160.7,-110.225,180.0,top
U9,BMV080,CON_5035661302_MOL,161.165613,-136.936012,-90.0,top
X1,LSE,Crystal_SMD_3215-2Pin_3.2x1.5mm,141.62,-101.3,0.0,top
X2,NT2016SF,NT2016SF TCXO,149.3,-97.05,90.0,top
